L_M1_foot,L_M1_hand,L_M1_tongue,L_PMd,L_S1S2,R_M1_foot,R_M1_hand,R_M1_tongue,R_PMv,R_S1S2,SMA
2.076362438908926217e-02,1.329703371804090928e+00,2.575181802969571887e+00,-7.798383337187813069e-01,2.204577224680796199e+00,-2.668548589707511742e-01,7.589454269104239925e-01,1.491658581059656319e+00,8.146020412323838888e-01,1.429312074686042433e-01,6.673697895876942177e-01
-4.095084925819282295e-01,-9.068531809144204925e-02,-2.414773109138714513e-01,1.091515255890405989e+00,4.509076649128586078e-01,-1.112551899706086811e+00,-7.109550993643590777e-01,4.562028705282752949e-01,1.347941237045424401e-01,2.425984218241361845e-01,-1.055840497144758583e+00
1.987543965962115688e+00,-1.004525757808879538e+00,-8.451133719588284077e-01,4.998722293425682528e-01,-1.993525348722637425e+00,6.788430597725459981e-01,-5.999600406769490801e-01,-1.023992753824063545e-01,4.892961990986067211e-01,-6.853699100755805684e-01,-1.609958005921063418e+00
-9.814738474450208916e-02,-1.396106344494272289e+00,-6.437569010222382593e-01,-1.934457702419986935e+00,-6.843846093443062273e-01,5.502306704923801695e-01,-8.300947020210209804e-01,4.270490480498359553e-02,3.431368698844134424e-01,5.252972479372733927e-01,-6.894641661315510373e-01
7.748452457022584339e-01,1.239472228733829562e+00,-9.108982619528287195e-02,-9.109681828254543312e-01,1.400712725853199558e-01,9.714026611700298242e-01,7.400536087023661391e-01,3.575745256350317258e-01,2.271251665432420241e-01,7.471956683311621328e-01,1.991407690376967965e+00
-2.800440446017750384e-02,-5.395155871729943042e-01,-8.076013054863175888e-01,-6.084315971137187473e-01,-7.358147674441527578e-03,6.698704391843111061e-01,-1.348541147033386567e+00,-1.425038769046624298e-01,-6.158578013971944820e-01,1.163961592966445829e-01,4.820268300824122054e-01
-2.251396803353008236e-01,-1.750116245732279696e-01,-4.990862526591004489e-01,-2.025763245331006213e-01,-1.451788630808414027e+00,3.652159990808297452e-01,-1.038072311395684011e+00,-1.241247635233049484e+00,-1.195258045788975876e+00,-1.066247317400691730e-01,1.379329458608419934e+00
-2.124709348878555115e+00,-1.311115278943835616e+00,-2.542578313563824688e-01,-9.974338627487202569e-01,-3.185869456796421861e-01,-8.027897667399489512e-01,-7.312855700584909302e-01,-9.557902555300668013e-02,-1.252274222184880381e+00,-9.967808496556638254e-01,-2.833963091332380446e-01
-8.029194634666689812e-01,3.610487027284188244e-01,1.308888553561889712e+00,1.064836157464449151e+00,7.314731120585333812e-01,-1.900782627148152271e+00,-6.685929526297436087e-01,9.193277976065172830e-01,2.571436965413618214e-01,1.234150069437703001e+00,1.837245058348279392e-01
5.150271427132914193e-01,-3.669856626145940881e-01,1.883542802871591260e+00,1.056532593111808138e+00,2.326548782947972960e+00,1.885683604792949497e+00,-6.063716531802940679e-01,2.380008171193726874e+00,2.483413799634628383e+00,1.153666746960273937e+00,1.314838110436995500e+00
-5.721881367847210242e-01,5.537464262056380759e-01,6.098549090676654016e-02,3.853174738412456501e-01,2.359331584936979198e-01,-2.621825318418285478e-01,3.160114839828291333e-01,-3.056722880517260821e-01,1.139511936918828211e-01,1.832556348225056642e+00,1.134042220313383975e+00
-1.621505655820528746e+00,2.567085399185716210e-01,-6.522714915079240727e-01,-2.220994505044244505e-01,3.546459923454602925e-01,-1.762400649268987207e+00,5.101316299872887816e-01,2.757340860720198725e-02,6.062347953339338735e-01,9.254414434740021456e-02,3.206562396381228974e-01
1.453825526806570512e+00,-4.065690254929110181e-01,6.241394998595654053e-01,1.143185011319116651e+00,6.445680397531646788e-01,-3.515397117236048752e-01,2.788685732787897775e-01,9.746483311187503773e-02,1.265292689475795429e+00,1.156787936835411257e+00,9.685584102212542179e-01
-9.228463632665840910e-01,3.734127792194348316e-01,-4.043098258305333204e-01,-4.570550345051326846e-01,1.849775166051961794e-01,-1.023479333830517798e-02,-7.997577581024332138e-01,1.587573638525601460e-01,7.124110761567247208e-01,2.958135470168143377e-01,-9.488395490353919437e-02
-2.544992385215572583e-01,-1.629109109502875130e+00,-1.252128740056055234e+00,8.081778506480601365e-01,-8.747455784027904357e-01,-2.300435326626788068e+00,-1.180464829262120263e+00,-1.064530706131780802e+00,-1.232228999793245183e+00,-2.410041217847042755e-02,-1.471954422678294572e+00
5.814826519173301733e-01,-6.930682431943469002e-01,-6.263621389291963437e-01,-1.776021781613084105e+00,-5.081344079409338965e-01,7.614764199219336005e-01,-4.375020450156033580e-01,-3.018567605107712049e-01,-1.188278834432835718e-01,-5.748970434099706095e-01,-8.546657886537141202e-01
-7.367846298794054893e-02,1.360086732736808912e+00,3.534692540920705839e-01,-1.427967115428012024e+00,9.459720887446722015e-01,4.092738253651529989e-01,1.303225857298387913e+00,1.135964165402024162e-01,-9.042238054544992076e-01,4.540091750809142068e-01,4.235727676364274830e-01
5.570076675895664353e-01,2.387816540955974176e+00,2.999692784595723305e-01,1.230898513804624672e-01,5.733848933581806584e-01,1.181578672781655959e+00,1.689813131021377091e+00,9.734356618613636269e-02,-6.676154326805355810e-01,2.336296463163036463e-01,1.405806571369356828e+00
1.007075800299392365e-01,1.680748814801379831e+00,7.605469517679007696e-01,1.749339948612320450e+00,6.083463642786235415e-01,-2.071247330411170665e-02,1.854034197213903612e+00,1.177777704627795519e+00,-8.566030313415444464e-02,-1.182609693250463501e+00,-4.699781032446900264e-01
